地区,食品烟酒,衣着,居住,生活用品及服务,交通通信,教育文化娱乐,医疗保健,其他用品及服务
北京,8751.4,1924,17163.1,2306.7,3925.2,3020.7,3755,880
天津,9122.2,1860.4,7770,1804.1,4045.7,2530.6,2811,950.7
辽宁,7334,1717.8,5503.6,1372.7,3016.5,2371.4,2595.2,937.9
上海,11515.1,1763.5,16465.1,2177.5,4677.1,3962.6,3188.7,1089.9
江苏,8291.7,1768,9388.4,1809,3994.6,2728.2,2173.7,728.6
浙江,9913.7,2035.5,10664.7,2073.1,4987.6,3449.7,2162.1,910.5
山东,7318.6,2012.5,5972.9,2148.7,3688.4,3204.5,2298.1,647.4
湖北,7112.4,1472.3,5774.3,1316,2852.5,2040.8,1922.3,394.8
广东,10794.7,1282.1,9457.9,1895.3,4626.3,2958.7,1748.6,747.7
重庆,8618.8,1918,4970.8,1897.3,3290.8,2648.3,2445.3,675.1
陕西,6295.8,1649.8,4887.6,1622.3,2855.2,2387.2,2608.4,560.2
新疆,7194.3,1616.8,4483.1,1500.8,3413.5,1778.2,2349.1,615.9
