月份,2017年,2018年,2019年,2020年,2021年,2022年
1月,116.2,136.3,151.2,163.2,172.8,184.4
2月,111.8,133,144.5,152.6,164.2,178.7
3月,128.2,152.2,170.9,173.8,194.9,219.7
4月,129.1,150.2,167,167,190.1,217.8
5月,129.6,152.6,170.4,174.2,201.6,233.4
6月,151.2,179.5,202.6,208.8,226.6,249.2
7月,174.7,198.2,223.2,235.7,263,292.2
8月,166.6,194.4,224.2,242.4,268.3,290.6
9月,149.8,170.4,193.9,193.9,222.2,253.2
10月,131.5,146.9,166.6,172.3,195.4,219.9
11月,113.8,130.1,146.4,148.8,173.8,200
12月,133.4,146.9,161.3,161.8,194.4,230.1
